Descriptor	Definition	Example	Format	Cardinality	Source	Comments	ISA Entity	ISA Field	Further description	FAANG Title
INVESTIGATION	Investigations are research programs with defined aims. They can exist at various scales (e.g., they could encompass a grant-funded program of work, the various components comprising a peer-reviewed publication, or a single experiment).									
investigationId	A unique identifier of the dataset. 	2025SF0002	Unique identifier	1	Plant		investigation	identifier		
investigationTitle	A human-readable string summarizing the investigation.	The behaviour of laboratory mice in KI-TIERWOHL.	Free text (short)	1	Plant FAANG		investigation	title		
investigationDescription	A human-readable text describing the investigation in more detail.	Research on how mice behave in different environments under laboratory conditions.	Free text	0-1	Plant FAANG		investigation	description		
submissionDate	The date on which the dataset was submitted, e.g. with a publication or to a repository.	2025-11-04	Date/Time (ISO 8601, optional time zone)	0-1	Plant		investigation	submissionDate		
publicReleaseDate	The date of the first public release of the dataset presently being described.	2025-11-04	Date/Time (ISO 8601, optional time zone)	0-1	Plant		investigation	publicReleaseDate		
license	A license for the reuse of the data associated with this investigation. The Creative Commons licenses cover most use cases and are recommended.	CC-BY-4.0	Unique identifier	0-1	Plant	Discussion: Can multiple licenses be issued per study within one investigation (e.g. multiple partners)? For submission, one license for the published dataset needs to be the "most" restrictive. If the studies licenses are too different, the study has to be published separately as its own investigation. Idea: using SPDX Link https://spdx.dev/	investigation	comment[license]		
potentialChecklistVersion	A placeholder for further adaption of the checklist.			0	Plant	No MIAPPE avalilable at the moment, only for commentary version- need new name in the future				
associatedPublication	An identifier for a literature publication where the investigation is described. Use of DOIs is recommended.	doi: 10.1371/journal.pone.0071377	DOI	0+	Plant		investigation	publications		
STUDY				0+						
studyId	A unique identifier of the study (e.g. a study could be an experiment).	2025RR0001	Unique identifier	1	Plant		study	identifier		
studyTitle	The title should be a representation of the experimental design.	2025 Laboratory mice Experiments	Free text (short)	1	Plant		study	title		
studyDescription	A human-readable text that is describing the study.	Study on the nutritional intake of mice.	Free text	0-1	Plant		study	description		
studyProject	The referred project, the study, the founder, or a collective that is working on this study.	Project: KI-TIERWOHL	Free text	0-1						
studyStartDate	The date and, if relevant, the time when the experiment started.	2002-04-04; 2006-09-27T10:23:21+00:00	Date/Time (ISO 8601, optional time zone)	1	Plant		study	comment[Study Start Date]		
studyEndDate	The date and, if relevant, the time when the experiment ended.	2025-11-04	Date/Time (ISO 8601, optional time zone)	0-1	Plant	To be discussed: If animals have long-term experiments without end. Potential splitting of data over longer time periods- letting study open?	study	comment[Study End Date]		
contactInst	The name and address of the institution responsible for the study.	IEC - Rostock university medical center; https://ror.org/04dm1cm79	Free text (short)	1	Plant FAANG	Recommendation to use the ROR. If multiple institutions should be named, then they need to model characteristic institutions to add multiple insitutsions. For a minimal idea, we stick with one contact institution, e.g. the coordination institution, when dealing with larger projects. Another solution would be the split of studies based on institutions.  FAANG also includes for the organization the address, the URI, and the role of the organization.	study	comment[Study Contact Institution]		
locationCountry	The country where the experiment took place, either as a full name or, preferably, as a 2-letter code.	DE	Country name or 2-letter code (ISO 3166)	1	Plant		study	comment[Study Country]		
siteName	The name of the natural site, experimental facility, laboratory site, external collaborator etc. where the experiment took place.	FBN pig facility; IEC laboratory; farm of Peter	Free text (short)	1	Plant		study	comment[Study Experimental Site]		
locationLatitude	The latitude of the experimental site in degrees, in decimal format.	43.619.264	Degrees in the decimal format (ISO 6709)	0-1 (1 if longitude is provided)	Plant	Discussion: Only relevant when there is interaction with the atmosphere (weather). Recommendation to trim the geolocation coordinate uncertainty.	study	comment[Study Latitude]		
locationLongitude	The longitude of the experimental site in degrees, in decimal format.	3.967.454	Degrees in the decimal format (ISO 6709)	0-1 (1 if latitude is provided)	Plant		study	comment[Study Longitude]		
locationAltitude	Altitude of the experimental site, provided in meters (m).	100 m	Numeric + unit abbreviation	0-1	Plant	Discussion: Remove this here and make it optional for environments where it is necessary. 	study	comment[Study Altitude]		
expeDesignDesc	A short description of the animal experimental design, possibly including statistical design. In specific cases, e.g. legacy datasets or data computed from several studies, the experimental design can be "unknown"/"NA", "aggregated/reduced data", or simply "none".	In this experiment, 24 animals were studied after statistical evaluation for identifying correlations between the analyzed factors. The experimental setup included 4 groups, each with 6 animals.	Free text	1	Plant		study	studyDesignDescriptors		
expeDesignType	The type of the experimental design of the study, if available, e.g. the kind of statistical analysis, could be shared.	mesh:D046888	Free text (Ontology term if possible)	0-1	Plant					
obsUnitLevel	The level of the unit used in the study, e.g. on the level of animal groups, single animals or schwarms.	mice XY1 - XY4 in cage 5.	Formatted text (Ontology term / label / Comment)	0-1	Plant	Discussion: Originally this always contains label, ID and source (and comment), which is correlated with an ontology. But you can let the ID and source be "empty" ontologies and just use label and comment to get more information about your study design in there.  Ontology in this context could also mean controlled vocabulary or similar things with sources. 				
obsUnitDesc	A general description of the observation units in the study and how they were selected, e. g. an animal group of a specific race. If possible, also provide the number of animals in the study.	The observation unit consists of all mice in cage 5 that are siblings and share the same unusual characteristics (e.g. C57BL6/J).  	Free text	1	Plant					
husbandryFacility	The type of husbandry in which the study was carried out.	Mixed-housing (indoor and outdoor) -  owlEOL:0001697	Free text (Ontology term if possible)	0-1	Plant	Discussion: For livestock animals there is the EOL: http://purl.org/obo/owlEOL_0001697. Can it be used even for non-livestock animals, like laboratory mice and primates?	study	studyDesignDescriptors		
husbandryFacDesc	A short description of the facility in which the study was carried out. An extension of the husbandry facility if needed.	The study contains a mixture of barn and outdoor opportunities by free will of choice.	Free text (short)	0-1		Discussion: Is it already covered in siteName? No, just a more detailed description for the husbandry.	study	studyDesignDescriptors.comments[Description]		
PERSON										
personName	The name of the person (either full name or as used in scientific publications).	Jonny Depp	Name	1	Plant FAANG	Discussion: In FAANG the personName is split into Last and First Name.				
personEmail	The electronic mail address of the person.	bruno@cat.us	E-mail address	0-1	Plant FAANG					
personId	A unique identifier for the data submitter. If that submitter is an individual, ORCID identifiers are recommended.	orcid.org/123-456	Unique identifier	0-1	Plant					
personRole	The type of contribution of the person to the investigation.	Data submitter; author; corresponding author	Free text (short)	1+	Plant FAANG 	Discussion: Do we use specific controlled vocabulary? - Using CreDit, e.g. using the list of roles from Zenodo Potential Recommendation: https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/contributorType/   In FAANG they used the EFO Ontology (EFO_0001440 - for role).				
personAffiliation	The institution the person belongs to.	IEC - Rostock university medical center; https://ror.org/04dm1cm79; https://ror.org/0207ad724	Free text (short)	1+	Plant FAANG					
DATA FILE										
dataFileLink	The link to the data file (or the digital object) in a public database (if available). Otherwise, enter a link to a specific data file inside the published investigation.	https://www.ebi.ac.uk/biostudies/ArrayExpress/studies/E-GEOD-18905?query=mice	URL or file name	1	Plant	Discussion: Is this really just a public link, or is there the possibility to use "internal" links to non-open repositories or even links to files inside the submitted investigation? It could be really just the file path (URI)  - but also "internal" links could be used to make the data accessible, even when a prior request to one of the authors has to be made.				
dataFileDesc	The description of the format of the data file. Maybe a standard file format name or a description of the organization in which the data was collected in a tabular file.	FASTA; tab-delimited; column headers headers: 1.A 2.B 3.C; desciption_file.txt	Free text (short)	0-1	Plant	 Could use this with fragments (WC3 Standard ARC) because in the plants they do not use a data standard.				
dataFileVersion	The version of the dataset (the actual data).	./data/filea.csv	Version number	0-1	Plant	https://www.w3.org/TR/annotation-model/#selectors  This is reasonable for machine actionability & accessibility				
SOURCE MATERIAL	For biological material, we assume it is the first kind of combination used to form a new animal, e.g. an embryo. When there is no information about the lineage/tree (pedigree), the single animal could also be the start of the biological material.  For animals, we have always had a kind of 1:1 connection: mother-father-child. But for plants, there is a 1:n connection - identical seed from the same accession.			0+					Remark: Highly different from plants!	
SourceMaterialId	An unique identifier for the source material. It could be an internally generated one or one out of the origin country (Botswana). Possible are also a transport number, the prior living circumstances, etc.	shipping1_of_animal_from_botswana	Unique identifier	1	Own_construction					
SourceMaterialExtId	An external identifier that already exists, e.g. mouse strains. It's possible that the identifier is identical to the SourceMaterialId.	C57BL6/J; wildlings	Unique identifier	0+ 	Own_construction					
SourceMaterialOrganism	A unique identifier for the organism at the species level. The use of the NCBI taxon ID is recommended.	http://purl.obolibrary.org/obo/NCIT_C45247	URL or File name	1	Own_construction					
SourceMaterialGenus	The genus name for the organism under study, according to the standard scientific nomenclature.	mus, sus	Genus name	0-1	Own_construction					
SourceMaterialSpecies	Species name (formally: specific epithet) for the organism under study, according to standard scientific nomenclature.	mus musculus; sus domesticus	Species name, recommended: binomial form	1	Own_construction					
SourceMaterialSubspecies	The name of any subtaxa level, including variety, crossing name, etc. The category can be used to store any additional taxonomic identifier. To be filled as a key-value pair list format (the key is the name of the rank/category, and the value is the value of the rank/category). 	mus musculus domesticus	Subspecies name	0-1	Own_construction					
SourceMaterialRace	The race of the animals, if available.	Mus strain (C57BL6/J); saddleback pig (http://purl.obolibrary.org/obo/VBO_0001193)	Free text	0-1						
